outcome	exposure	method	nsnp	b	se	pval	FDR	OR	UCI	LCI
I35.0 and I35.2 UKB	AKR1B1	Wald ratio	1	0.231763923304066	0.107330954060387	0.0308238705840291	0.609044040238475	1.2608220429893	1.55602204479585	1.02162577285097
I35.0 and I35.2 UKB	GSN	Wald ratio	1	0.0335048288565703	0.112776924826855	0.766398257309055	0.980031146911782	1.0340724371017	1.28987795002936	0.828997662258758
I35.0 and I35.2 UKB	KLK6	Wald ratio	1	0.0249564506717157	0.0705861125528025	0.723668393330587	0.979575966467969	1.02527046971191	1.17739601293378	0.892800319107591
I35.0 and I35.2 UKB	TNFRSF19	Wald ratio	1	-0.109459150586603	0.133457986841694	0.412115299977287	0.925027889590701	0.896318777710573	1.16429820181256	0.690018545099425
I35.0 and I35.2 UKB	LYZ	Wald ratio	1	-0.066744096889862	0.0432417830388615	0.122707238093425	0.776525462042677	0.935434551321281	1.01817295226339	0.859419608289975
I35.0 and I35.2 UKB	HAVCR1	Wald ratio	1	0.010165122863714	0.0445444718781733	0.819489463360862	0.980850561285113	1.0102169632308	1.10238089167957	0.925758347683605
I35.0 and I35.2 UKB	NCR1	Wald ratio	1	-0.208297510130237	0.0998099852633723	0.0368935046546748	0.609044040238475	0.81196543283225	0.987409986755644	0.667694142208041
I35.0 and I35.2 UKB	DNAJC30	Wald ratio	1	0.0490000225973765	0.0723272766746865	0.498103742496207	0.936967434631777	1.05022037447225	1.210170773628	0.911410900835128
I35.0 and I35.2 UKB	NPNT	Wald ratio	1	0.114805684812813	0.112429879682806	0.307192169760436	0.91471337431893	1.12165546170361	1.39817560706928	0.899823290013387
I35.0 and I35.2 UKB	LSAMP	Wald ratio	1	-0.113494779665914	0.122426551214386	0.353903774861047	0.915338819823354	0.892708856637495	1.13480548877048	0.702260528879243
I35.0 and I35.2 UKB	LILRA5	Wald ratio	1	0.0417181175260576	0.0401843012596049	0.29919113123727	0.91471337431893	1.04260054650415	1.12803744449013	0.963634589330575
I35.0 and I35.2 UKB	COCH	Wald ratio	1	-0.0330347459515067	0.0649188694108955	0.610848954908245	0.964911715009576	0.967504942125198	1.09878633414991	0.851908859751958
I35.0 and I35.2 UKB	LIPN	Wald ratio	1	0.0079579202295379	0.0219551545883079	0.717006441374689	0.979575966467969	1.00798966863795	1.05231239454434	0.965533787636131
I35.0 and I35.2 UKB	FTCD	Wald ratio	1	-0.0316050479465663	0.206276808493138	0.87822740352144	0.980850561285113	0.968889171289778	1.45164514596022	0.646677480963599
I35.0 and I35.2 UKB	NTN4	Wald ratio	1	0.0682519392323448	0.0963596544137979	0.478756425517436	0.935751195329534	1.07063500946562	1.29319624327788	0.886376935791291
I35.0 and I35.2 UKB	THBS2	Wald ratio	1	-0.0407352667799066	0.0427514696407461	0.340671660287509	0.915338819823354	0.960083262241256	1.04399804172459	0.882913409409418
I35.0 and I35.2 UKB	ITIH1	Wald ratio	1	-0.0488993065401192	0.0328005482002796	0.136012015867157	0.809794617547535	0.952277012938214	1.01550880025362	0.892982423337003
