outcome	exposure	method	nsnp	b	se	pval	FDR	OR	UCI	LCI
I35.0 and I35.2 UKB	MSR1	Wald ratio	1	-0.0438428791035524	0.0626631121103152	0.484139601733579	0.946186479507484	0.957104326749472	1.08217923754953	0.846485185168449
I35.0 and I35.2 UKB	TFF1	Wald ratio	1	0.0411324781760365	0.0789948312628234	0.602576925075599	0.975255634190281	1.04199013735502	1.21648110085794	0.892528001938869
I35.0 and I35.2 UKB	LEPR	Wald ratio	1	-0.0132158193840072	0.0987809854128789	0.893569344653797	0.9822509460964	0.986871126116856	1.19769025202394	0.813160679831337
I35.0 and I35.2 UKB	GPR37	Wald ratio	1	0.0693447149147448	0.0296700984849914	0.0194292062974544	0.488355725854935	1.07180561285566	1.13598271889772	1.01125417899279
I35.0 and I35.2 UKB	NUCB2	Wald ratio	1	-0.0560656092300171	0.0512998781912875	0.274437944928599	0.887630514439173	0.945477101830765	1.04548631673019	0.855034576523298
I35.0 and I35.2 UKB	EFNA4	Wald ratio	1	-0.0807297397195336	0.171837315069739	0.638495548034879	0.9822509460964	0.922442957452136	1.29184495955731	0.658671153576067
I35.0 and I35.2 UKB	IL1RL2	Wald ratio	1	-0.0330986619960724	0.0471621741302858	0.48280061645756	0.946186479507484	0.967443105012413	1.06113511598979	0.882023549435591
I35.0 and I35.2 UKB	CST5	Wald ratio	1	-0.0168302206191326	0.0282002495576845	0.550633537936297	0.961754489232397	0.98331061633137	1.03919073260087	0.930435326121541
I35.0 and I35.2 UKB	LPCAT2	Wald ratio	1	-0.212319171589838	0.187707062016989	0.258004678031517	0.88214834768129	0.808706540218292	1.16834319194102	0.559772396247124
I35.0 and I35.2 UKB	PM20D1	Wald ratio	1	0.0196839360631744	0.0262567680642718	0.453452912235683	0.94174119329539	1.01987894212673	1.07373927023395	0.968720326645879
I35.0 and I35.2 UKB	DTX3	Wald ratio	1	-0.189333651615739	0.224219576620207	0.398439342409036	0.928441460984209	0.827510360460168	1.28420097879457	0.533229150246941
I35.0 and I35.2 UKB	CD79B	Wald ratio	1	0.0934363135043731	0.12966856506252	0.471169201968503	0.946186479507484	1.09794067712051	1.41564704334648	0.851535512429851
I35.0 and I35.2 UKB	CD276	Wald ratio	1	0.00959731498289295	0.0260241272835114	0.71228777979831	0.9822509460964	1.00964351689682	1.06247873177014	0.959435705139663
I35.0 and I35.2 UKB	KLK11	Wald ratio	1	-0.121676398863838	0.0518391327309362	0.0189155035089918	0.488355725854935	0.885434849870694	0.980128396844552	0.799889969405591
I35.0 and I35.2 UKB	PRSS27	Wald ratio	1	0.0713536966323537	0.103815988300511	0.491887825069313	0.946186479507484	1.07396101509363	1.31631087696372	0.876230898130558
I35.0 and I35.2 UKB	PARP1	Wald ratio	1	0.0142421833526952	0.177200434336269	0.935940363123049	0.98981073281147	1.01434408644549	1.43556002535645	0.716719543267762
I35.0 and I35.2 UKB	ARSB	Wald ratio	1	-0.050390172462292	0.0694597633590138	0.468170824453848	0.946186479507484	0.950858353369528	1.08953496078429	0.829832580610156
