beta,se,tval,pval,outcome,population,fdr,Effect_lib,Effect,Outcome
0.0236126409279149,0.0175892635562847,1.34244625150767,0.17946011599434,ctsz,white_british,0.300400628947047,Unchanged,Unchanged,CTSZ
0.00751863829393179,0.0182205960732712,0.412645023450209,0.679869276547165,cx3cl1,white_british,0.77950529121356,Unchanged,Unchanged,CX3CL1
0.0528519406850698,0.0277314418097179,1.9058490015672,0.0566780670567303,cxadr,white_british,0.120348348481853,Unchanged,Unchanged,CXADR
0.160869645923086,0.0509627058200746,3.15661508419591,0.0015974856833691,cxcl1,white_british,0.00610214505161617,Upregulated,Unchanged,CXCL1
0.134621761911432,0.0363353290353604,3.70498260193056,0.000211731580817811,cxcl10,white_british,0.00106814931978089,Upregulated,Unchanged,CXCL10
0.106204276053435,0.0421698959231024,2.51848560990288,0.0117904892561028,cxcl11,white_british,0.0325461995880725,Upregulated,Unchanged,CXCL11
0.0234792396275491,0.021746324967637,1.07968770182966,0.280288919376179,cxcl12,white_british,0.419716160744473,Unchanged,Unchanged,CXCL12
0.123666759320147,0.0327594106203875,3.77499951855619,0.000160271972073997,cxcl13,white_british,0.000865232085403165,Upregulated,Unchanged,CXCL13
0.00508551605607061,0.0321778565083125,0.158043965879358,0.874423091422626,cxcl14,white_british,0.916647247495214,Unchanged,Unchanged,CXCL14
0.0502434752287336,0.012746003295614,3.94190037955058,8.0995273407858e-05,cxcl16,white_british,0.000470222559506731,Upregulated,Unchanged,CXCL16
0.110809830040166,0.0266940646808688,4.15110367660051,3.31656423508867e-05,cxcl17,white_british,0.00021188355790108,Upregulated,Upregulated,CXCL17
0.0623662559026164,0.0513033143562549,1.21563795020219,0.224131136998435,cxcl3,white_british,0.353304032524928,Unchanged,Unchanged,CXCL3
0.0749850745442286,0.0616406029845535,1.21648833582986,0.223807243520746,cxcl5,white_british,0.353304032524928,Unchanged,Unchanged,CXCL5
0.0865883679378345,0.0412829648719155,2.09743578753327,0.0359621545411034,cxcl6,white_british,0.0837780765822202,Unchanged,Unchanged,CXCL6
0.0571535094595884,0.0367959425605789,1.5532557527367,0.12037123628995,cxcl8,white_british,0.220680599864908,Unchanged,Unchanged,CXCL8
0.133725516395271,0.0357980418608229,3.73555394217299,0.000187600622908667,cxcl9,white_british,0.000986392769926686,Upregulated,Unchanged,CXCL9
0.0372700557253294,0.0607400446703536,0.613599412506202,0.539484061095039,dab2,white_british,0.662691168246887,Unchanged,Unchanged,DAB2
0.0633116309553856,0.025917850030618,2.44278097452499,0.0145795057520551,dag1,white_british,0.0389230235679865,Upregulated,Unchanged,DAG1
-0.00140462193423764,0.0657757855820214,-0.0213546964404719,0.982962835297519,dapp1,white_british,0.987688618159526,Unchanged,Unchanged,DAPP1
-0.0260265107779006,0.0402705308779871,-0.646291722767612,0.5180947586296,dars1,white_british,0.646182976875622,Unchanged,Unchanged,DARS1
0.09678871247418,0.0426211506754519,2.2709080102318,0.0231586753255641,dbi,white_british,0.0574256644089835,Unchanged,Unchanged,DBI
0.0486017851471044,0.05067027448332,0.959177459421569,0.337476002267204,dbnl,white_british,0.477217140117832,Unchanged,Unchanged,DBNL
0.0383015947464525,0.018762911525437,2.04134601895483,0.0412239699345423,dcbld2,white_british,0.0930902734272374,Unchanged,Unchanged,DCBLD2
0.0553442561133209,0.0121777904023088,4.54468785263607,5.52055216429454e-06,dcn,white_british,4.51204905942062e-05,Upregulated,Upregulated,DCN
0.00886743596609383,0.035637536473661,0.248822922219878,0.803499219826879,dctn1,white_british,0.865625448164009,Unchanged,Unchanged,DCTN1
0.00120378682178242,0.0512145530097748,0.0235047804000684,0.981247761090962,dctn2,white_british,0.986642937784246,Unchanged,Unchanged,DCTN2
0.042366554436302,0.0391882186885548,1.08110436896881,0.279658388802483,dctn6,white_british,0.419630997762085,Unchanged,Unchanged,DCTN6
0.0770246526017277,0.0170851296456782,4.50828610605315,6.55667172780061e-06,dctpp1,white_british,5.15721007407113e-05,Upregulated,Upregulated,DCTPP1
0.019651896219907,0.0296298205732699,0.66324722322604,0.507176623319731,dcxr,white_british,0.635817823407683,Unchanged,Unchanged,DCXR
0.0829025721939565,0.0244988248533958,3.38394076818201,0.00071532795414555,ddah1,white_british,0.00306898767423736,Upregulated,Unchanged,DDAH1
-0.00944880604788808,0.0261048181248763,-0.361956402174047,0.717386815432621,ddc,white_british,0.801674238263885,Unchanged,Unchanged,DDC
0.0159080694080452,0.0124014338182439,1.28276049698726,0.19958448903571,ddr1,white_british,0.325520744101721,Unchanged,Unchanged,DDR1
0.0230644008713727,0.0317342596570195,0.726798139318523,0.467354649488111,ddx58,white_british,0.60347736293125,Unchanged,Unchanged,DDX58
0.0518766839348215,0.0523933642995679,0.990138438871912,0.322113372438892,decr1,white_british,0.460656758434114,Unchanged,Unchanged,DECR1
0.133451665847916,0.0291496847451324,4.57815125668556,4.70762406580645e-06,defa1_defa1b,white_british,3.89110395947731e-05,Upregulated,Upregulated,DEFA1_DEFA1B
0.221096694351826,0.080540231057307,2.74517084752971,0.0060510946431193,defb4a_defb4b,white_british,0.018755829370516,Upregulated,Unchanged,DEFB4A_DEFB4B
0.0752489147469101,0.0367663823752344,2.04667715139679,0.0406972310608934,dffa,white_british,0.0925972768928259,Unchanged,Unchanged,DFFA
0.00270660203263687,0.0193823679352824,0.139642485462778,0.88894329679176,dgkz,white_british,0.926959403568314,Unchanged,Unchanged,DGKZ
-0.00649102022724092,0.0595330342558321,-0.109032242491572,0.913177548568525,diablo,white_british,0.946831150641922,Unchanged,Unchanged,DIABLO
0.0122800862718684,0.0319426772114633,0.384441360083036,0.700653685179066,dkk1,white_british,0.792554028195956,Unchanged,Unchanged,DKK1
0.00463538088166364,0.0158002031996596,0.293374763798195,0.76923744568309,dkk3,white_british,0.839121548866258,Unchanged,Unchanged,DKK3
0.0681757790985294,0.025195128311848,2.70591116880598,0.00681508365364571,dkk4,white_british,0.0207286224226272,Upregulated,Unchanged,DKK4
-0.0106462695378718,0.0459454674563356,-0.231715338362583,0.816760489765678,dkkl1,white_british,0.874758855437179,Unchanged,Unchanged,DKKL1
-0.0754287310089647,0.0300620692149229,-2.50909977186539,0.0121083930954486,dlk1,white_british,0.0332980810124837,Downregulated,Unchanged,DLK1
0.0819533076548409,0.0162300733591733,5.04947241095005,4.45264660658795e-07,dll1,white_british,4.97268853850242e-06,Upregulated,Upregulated,DLL1
0.0530054438535555,0.04483702803763,1.18218013488918,0.237142271540236,dnaja2,white_british,0.366356011893733,Unchanged,Unchanged,DNAJA2
0.0502053226442146,0.0478110782716353,1.05007718836577,0.29368997159073,dnajb1,white_british,0.43169992707641,Unchanged,Unchanged,DNAJB1
0.0339338802888824,0.0315401829906266,1.075893576742,0.281982471318861,dnajb8,white_british,0.42182040443711,Unchanged,Unchanged,DNAJB8
-0.0680799015867594,0.0141132772327067,-4.82381947610212,1.41432501208953e-06,dner,white_british,1.38869630381677e-05,Downregulated,Downregulated,DNER
0.0888707370460738,0.0347001696885817,2.56110381717578,0.0104382359972497,dnmbp,white_british,0.0294046329771338,Upregulated,Unchanged,DNMBP
-0.00935830400844175,0.0286169987364307,-0.327019059358179,0.743655435349251,dnph1,white_british,0.821107850502607,Unchanged,Unchanged,DNPH1
0.0732049367241162,0.066761710369098,1.09651080416299,0.272862897963454,dok2,white_british,0.411544762598488,Unchanged,Unchanged,DOK2
-0.071793762166601,0.0268152726699764,-2.67734596810513,0.00742431711386265,dpep1,white_british,0.0223034413502691,Downregulated,Unchanged,DPEP1
-0.00272708624614512,0.0155333643453736,-0.175563141732225,0.860638190157976,dpep2,white_british,0.906489324838819,Unchanged,Unchanged,DPEP2
0.0071212506796078,0.0191959734228564,0.370976273134897,0.710657472332928,dpp10,white_british,0.798534471599903,Unchanged,Unchanged,DPP10
-0.0556895936064155,0.0160055613476522,-3.47939021923679,0.000503184236656575,dpp4,white_british,0.00229332877952825,Downregulated,Unchanged,DPP4
-0.0267577799010289,0.0186047720499292,-1.43822132457306,0.150380325448495,dpp6,white_british,0.261290280440794,Unchanged,Unchanged,DPP6
0.0994400845744203,0.0325574144274741,3.05429919184572,0.00225759118405351,dpp7,white_british,0.00807544230383933,Upregulated,Unchanged,DPP7
0.0291471777513268,0.0149853630039628,1.94504315601957,0.0517777518947939,dpt,white_british,0.112545564381061,Unchanged,Unchanged,DPT
0.123982266802572,0.0336020578795979,3.68972243446585,0.000224840140737162,dpy30,white_british,0.00111884736700159,Upregulated,Unchanged,DPY30
0.0823138400426552,0.023432978910823,3.51273478100716,0.000444087617966954,draxin,white_british,0.00204952739774654,Upregulated,Unchanged,DRAXIN
0.0195859592450448,0.0308233732529821,0.63542556112511,0.525155110458931,drg2,white_british,0.650552012363604,Unchanged,Unchanged,DRG2
0.0620902776227565,0.0182639750974103,3.39960371669367,0.000675603629538851,dsc2,white_british,0.00293296175078736,Upregulated,Unchanged,DSC2
-0.0308174011148811,0.0144741306434286,-2.12913658678855,0.0332499805776636,dsg2,white_british,0.0787131417234981,Unchanged,Unchanged,DSG2
-0.0233543505639822,0.0183637765575299,-1.27176185632721,0.203466228342905,dsg3,white_british,0.329282181488573,Unchanged,Unchanged,DSG3
-0.0654027256713426,0.0267044752638505,-2.44912978162419,0.014325131556719,dsg4,white_british,0.0383138344926506,Downregulated,Unchanged,DSG4
0.049302010050792,0.0130862356447109,3.76747075242518,0.000165183572664836,dtx3,white_british,0.000885214530434634,Upregulated,Unchanged,DTX3
0.024000632733954,0.0388819675401607,0.617268987459652,0.537061442799239,duox2,white_british,0.662496535257409,Unchanged,Unchanged,DUOX2
0.0332264435458539,0.0467137220271053,0.711278016480351,0.476916870555163,dusp3,white_british,0.61150690764435,Unchanged,Unchanged,DUSP3
0.046193210176858,0.05222917117645,0.884433146005703,0.37646860752066,ebag9,white_british,0.516188915466472,Unchanged,Unchanged,EBAG9
0.0750077127502445,0.016563598678789,4.52846716494634,5.96093155663075e-06,ebi3_il27,white_british,4.81814523058055e-05,Upregulated,Upregulated,EBI3_IL27
0.0151568614326903,0.0192494906342959,0.787390259858934,0.431058957371596,ece1,white_british,0.571231208908193,Unchanged,Unchanged,ECE1
0.1479309559327,0.0205188140344396,7.20952759181927,5.72818190404281e-13,eda2r,white_british,2.97138329621066e-11,Upregulated,Upregulated,EDA2R
-0.14840215343978,0.0499795132919338,-2.96925967591867,0.00298722595814928,edar,white_british,0.0101872064726629,Downregulated,Unchanged,EDAR
0.0444685503562491,0.0198978359941371,2.23484354627065,0.0254340761845204,edil3,white_british,0.062120289579221,Unchanged,Unchanged,EDIL3
0.0949067866682418,0.0170788406824875,5.55698061903924,2.76487364502422e-08,efemp1,white_british,4.39675015507656e-07,Upregulated,Upregulated,EFEMP1
0.0912266079115727,0.0151334351008487,6.02814941245273,1.67521202409322e-09,efna1,white_british,3.45188055105406e-08,Upregulated,Upregulated,EFNA1
0.131644201036874,0.0168852001168365,7.7964252792959,6.54731938002392e-15,efna4,white_british,5.04143592261842e-13,Upregulated,Upregulated,EFNA4
0.0575691392367034,0.0560261955008815,1.02753968428568,0.304173580096853,egf,white_british,0.441036618118628,Unchanged,Unchanged,EGF
0.0668841398094126,0.0216985086519735,3.08243026662246,0.00205482796837503,egfl7,white_british,0.00745958639635898,Upregulated,Unchanged,EGFL7
-0.0456549975373465,0.00876644324607089,-5.20792712116273,1.92036671488786e-07,egfr,white_british,2.36092143183272e-06,Downregulated,Downregulated,EGFR
0.146947000973521,0.031337094541155,4.68923501445022,2.75272224078182e-06,egln1,white_british,2.44074705349321e-05,Upregulated,Upregulated,EGLN1
-0.00686435849573794,0.0317256554087231,-0.216366168241572,0.828703616262612,eif4b,white_british,0.880700784756348,Unchanged,Unchanged,EIF4B
0.0861200927325921,0.0358962585390085,2.39913841268458,0.0164389362863145,eif4ebp1,white_british,0.0430235488137355,Upregulated,Unchanged,EIF4EBP1
0.1269921897748,0.0545454988712864,2.32818825389185,0.0199077646659345,eif4g1,white_british,0.0505643397678163,Unchanged,Unchanged,EIF4G1
-0.037860883032638,0.0162020096820088,-2.33680165459227,0.0194552660027333,eif5a,white_british,0.0496737419930171,Downregulated,Unchanged,EIF5A
0.071117680578649,0.030296300750675,2.34740475954195,0.0189103180818679,eloa,white_british,0.0485364830767943,Upregulated,Unchanged,ELOA
0.0729182936718295,0.0261907888182281,2.78411979791462,0.00537028118097905,enah,white_british,0.0169691606215386,Upregulated,Unchanged,ENAH
