beta.x,se.x,tval.x,pval.x,outcome,population,fdr.x,Effect_lib.x,Effect,Outcome.x
0.0490905586162849,0.00836890907540654,5.8658253033894,4.49624980479839e-09,cd99,all,2.52031167219159e-08,Upregulated,Upregulated,CD99
0.0601473566905277,0.0107000195365899,5.62123802529959,1.90571545100304e-08,cd99l2,all,1.00652047105323e-07,Upregulated,Upregulated,CD99L2
0.139693677340369,0.0228680162560688,6.10869241022585,1.01173155594182e-09,cdcp1,all,6.06624289484788e-09,Upregulated,Upregulated,CDCP1
0.082513260230214,0.0172142022886594,4.7933246540604,1.64512165103787e-06,cdh1,all,6.61212355897913e-06,Upregulated,Upregulated,CDH1
0.125747143050998,0.0250969906424818,5.01044706285004,5.44817804613707e-07,cdh15,all,2.33744412947171e-06,Upregulated,Upregulated,CDH15
0.127604549028155,0.0288592781044375,4.42161264624751,9.81745565423347e-06,ceacam5,all,3.52897730273798e-05,Upregulated,Upregulated,CEACAM5
0.0820103719794268,0.0183273776593,4.47474666065015,7.66655127764322e-06,cgref1,all,2.80404112979801e-05,Upregulated,Upregulated,CGREF1
0.114732808871005,0.0231406411048427,4.95806526496773,7.1424403640404e-07,chrdl2,all,3.02197857509239e-06,Upregulated,Upregulated,CHRDL2
0.085994449952014,0.0141465488261904,6.07882890792468,1.21926820497881e-09,clec1a,all,7.22181936795141e-09,Upregulated,Upregulated,CLEC1A
0.167275473984589,0.0280453712544769,5.96445924950581,2.47043119700487e-09,clec4d,all,1.42855369218108e-08,Upregulated,Upregulated,CLEC4D
0.127241568757018,0.0205947856845292,6.17833905659923,6.52744145676014e-10,clec6a,all,4.09856088036055e-09,Upregulated,Upregulated,CLEC6A
0.0773152025043091,0.0098747921102201,7.8295524241255,4.98826419053441e-15,clmp,all,5.61371577750142e-14,Upregulated,Upregulated,CLMP
0.098723457174235,0.0168193373004567,5.86964012973058,4.39379589712399e-09,clstn2,all,2.48190092567274e-08,Upregulated,Upregulated,CLSTN2
-0.0567116846685235,0.0117560803584801,-4.82403002864942,1.41082687601365e-06,cntn1,all,5.76547407711723e-06,Downregulated,Downregulated,CNTN1
0.101606415940605,0.0174694268460918,5.81624210317675,6.05398506960925e-09,col4a1,all,3.32969178828509e-08,Upregulated,Upregulated,COL4A1
0.0658344863661617,0.0124868262912128,5.27231538509435,1.35255408252466e-07,crhbp,all,6.42463189199214e-07,Upregulated,Upregulated,CRHBP
0.168664781274367,0.0405014824075157,4.16441007213773,3.12665401522485e-05,cst7,all,0.000104915018905366,Upregulated,Upregulated,CST7
0.0688908157007545,0.0134074072618483,5.13826531523273,2.78284543852748e-07,ctso,all,1.22629604715834e-06,Upregulated,Upregulated,CTSO
0.0591438494098864,0.013890753281287,4.25778560832711,2.0682660452379e-05,ctsz,all,7.10298878916208e-05,Upregulated,Upregulated,CTSZ
0.184065398616141,0.0290751825331043,6.33067044055764,2.46092899173631e-10,cxcl10,all,1.63651777950465e-09,Upregulated,Upregulated,CXCL10
0.187701527105046,0.026422579676815,7.10383048895669,1.22899222080887e-12,cxcl13,all,1.05147112224759e-11,Upregulated,Upregulated,CXCL13
0.0571875634199114,0.0103253701483037,5.53854850707766,3.0645807207261e-08,cxcl16,all,1.57869070226137e-07,Upregulated,Upregulated,CXCL16
0.174837289315814,0.028575475486712,6.11843849797409,9.51723736055693e-10,cxcl9,all,5.77747645580697e-09,Upregulated,Upregulated,CXCL9
0.0851228434704556,0.0194061633633811,4.38638188685355,1.15481053141648e-05,ddah1,all,4.11067593056523e-05,Upregulated,Upregulated,DDAH1
-0.0787816114853812,0.0127561399840588,-6.17597577196816,6.62551977591021e-10,dpp4,all,4.14236556929771e-09,Downregulated,Downregulated,DPP4
0.0509672613732215,0.0120014071676424,4.24677378754694,2.17245811156115e-05,dpt,all,7.4259491056401e-05,Upregulated,Upregulated,DPT
0.147090207700681,0.0266181206886446,5.52594262462078,3.29294401589798e-08,dpy30,all,1.68446751582474e-07,Upregulated,Upregulated,DPY30
0.0882199025268592,0.0186316904143735,4.73493819212461,2.19708285485917e-06,draxin,all,8.71092741641996e-06,Upregulated,Upregulated,DRAXIN
0.100281514894576,0.0146872088100142,6.82781297602314,8.71819070006569e-12,dsc2,all,6.6778602063854e-11,Upregulated,Upregulated,DSC2
-0.0947499195235232,0.0218590919259959,-4.33457711071894,1.46319209012106e-05,dsg4,all,5.13345330418971e-05,Downregulated,Downregulated,DSG4
0.0472452014381414,0.0103904110995378,4.54700020870619,5.45402077247828e-06,dtx3,all,2.05121655273412e-05,Upregulated,Upregulated,DTX3
0.0808437358502876,0.0173191377392977,4.66788457180812,3.05100230264596e-06,egfl7,all,1.18085089120927e-05,Upregulated,Upregulated,EGFL7
0.0558442515508652,0.0116110139590681,4.8095930077882,1.51659223805059e-06,enpp2,all,6.12921117201109e-06,Upregulated,Upregulated,ENPP2
-0.107474523368686,0.0185391368720697,-5.79716974475781,6.7834003698935e-09,enpp5,all,3.71689690679932e-08,Downregulated,Downregulated,ENPP5
0.0723712243156628,0.0106090473964896,6.82165152166344,9.09783042022673e-12,ephb4,all,6.93235724207901e-11,Upregulated,Upregulated,EPHB4
0.0681099517724024,0.0133023498297289,5.12014438382804,3.06390477731394e-07,eps8l2,all,1.34206367940428e-06,Upregulated,Upregulated,EPS8L2
-0.0360004946813334,0.00837978467361375,-4.29611214172265,1.74138954339235e-05,erbb3,all,6.00861533486559e-05,Downregulated,Downregulated,ERBB3
0.0652669400744453,0.0153187281586002,4.26059783806551,2.04242454062487e-05,esm1,all,7.03074612455102e-05,Upregulated,Upregulated,ESM1
0.136467472852675,0.0299473002246482,4.55692071836095,5.20273383243483e-06,fabp5,all,1.97573513631769e-05,Upregulated,Upregulated,FABP5
